,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist
23,Hands Up (with Monaleo),51Zw9bJ0i2KlGbbtlkbieR,Hands Up (with Monaleo),Tay Money,6R6EfP43F8ZuMcilsE4zs7,"['dfw rap', 'rap', 'trap queen']",184204,58,True,0.856,0.577,1,-6.59,1,0.424,0.00635,0.0,0.123,0.376,156.943,Feelin'_Myself
24,Give U Some (feat. Rob49),4zM1EkVk8jfs969NYYSZ9x,Give U Some (feat. Rob49),Lebra Jolie,3ej8SuMJzEgwFLe2lCBikV,"['houston rap', 'trap queen']",142895,57,True,0.944,0.681,7,-7.454,1,0.311,0.0142,0.0,0.0821,0.831,102.473,Feelin'_Myself
25,THIQUE,1LCm0lFnEsxR2oPqyHLGX9,RENAISSANCE,Beyoncé,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",244792,77,True,0.823,0.536,5,-10.123,0,0.319,0.0616,0.0143,0.326,0.537,128.955,Feelin'_Myself
26,Gotsta Get Paid,05NtQ4hY7LiPApiQrA5P5c,Gotsta Get Paid,Rico Nasty,2OaHYHb2XcFPvqL3VsyPzU,"['alternative r&b', 'dance pop', 'dmv rap', 'escape room', 'pop', 'rap', 'trap queen']",210939,52,True,0.81,0.734,11,-2.353,1,0.142,0.00673,0.0,0.136,0.52,142.644,Feelin'_Myself
27,Pressurelicious (feat. Future),5ZWNnO9MyPfGrUHiGWHESB,Pressurelicious (feat. Future),Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,"['dance pop', 'houston rap', 'pop', 'rap', 'trap queen']",173061,70,True,0.844,0.722,1,-5.178,0,0.264,0.011,0.0,0.105,0.67,146.976,Feelin'_Myself
28,Persuasive (with SZA),67v2UHujFruxWrDmjPYxD6,Persuasive (with SZA),Doechii,4E2rKHVDssGJm2SCDOMMJB,"['alternative r&b', 'escape room', 'pop', 'r&b', 'rap', 'viral rap']",210346,71,True,0.756,0.554,7,-7.166,0,0.145,0.211,0.0,0.274,0.563,120.028,Feelin'_Myself
31,ABOW,5KEpflyct0AqX7H7GVlQVj,ABOW,Kash Doll,3u579Gdap91lMptBSdXTpf,"['alternative r&b', 'detroit hip hop', 'hip pop', 'pop r&b', 'r&b', 'rap', 'trap queen']",134184,58,True,0.932,0.57,1,-7.616,1,0.267,0.0675,0.0,0.0916,0.291,102.017,Feelin'_Myself
32,Wifey,5lb9WTRIe0geWjt5zRPTpy,Wifey,Rubi Rose,1DGAqC29aw0FpJCejAehVk,['viral rap'],123428,60,True,0.891,0.6,11,-11.013,0,0.128,0.0161,0.0,0.117,0.746,105.01,Feelin'_Myself
33,The One (Sprite Limelight),22Xi8off2rIqT1kwTZXKPW,The One (Sprite Limelight),Coi Leray,6AMd49uBDJfhf30Ak2QR5s,"['new jersey underground rap', 'r&b', 'rap', 'trap queen', 'viral rap']",135733,58,False,0.73,0.562,0,-7.413,1,0.0854,0.414,9.75e-05,0.103,0.335,99.98,Feelin'_Myself
34,Diva (feat. Emilia),0Be0IFTqpOBkJeGQYaXvY6,Diva (feat. Emilia),Princess Nokia,6lay1nwbE6hTx1jivysUAL,"['alternative r&b', 'escape room', 'lgbtq+ hip hop', 'pop', 'trap queen', 'viral rap']",215000,56,True,0.772,0.831,8,-3.885,0,0.0462,0.0591,4.15e-06,0.137,0.606,127.988,Feelin'_Myself
